sigma_max,delta_u,delta_max,alpha,delta,damage,traction
10000000.0,0.0002,2.0000000000000003e-06,4.5,8.979591836734695e-05,0.9807555719723343,192444.28027665682
10000000.0,0.0002,2.0000000000000003e-06,4.5,9.387755102040817e-05,0.9813356682739033,186643.31726096716
10000000.0,0.0002,2.0000000000000003e-06,4.5,9.79591836734694e-05,0.9818892101982422,181107.89801757844
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00010204081632653063,0.982417531329118,175824.6867088198
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00010612244897959185,0.9829219179252775,170780.820747225
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00011020408163265307,0.9834036042187679,165963.95781232064
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.0001142857142857143,0.9838637698710955,161362.30128904528
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00011836734693877552,0.9843035389679661,156964.61032033927
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00012244897959183676,0.984723980106918,152760.19893082028
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00012653061224489798,0.9851261072546023,148738.92745397743
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.0001306122448979592,0.9855108811378418,144891.188621582
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00013469387755102042,0.9858792109955784,141207.89004421598
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00013877551020408165,0.9862319565646293,137680.43435370747
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00014285714285714287,0.9865699302057613,134300.69794238664
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.0001469387755102041,0.986893899101394,131061.00898605977
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.0001510204081632653,0.9872045874746611,127954.12525338889
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00015510204081632656,0.9875026787933124,124973.21206687561
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00015918367346938778,0.9877888179322409,122111.82067759063
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.000163265306122449,0.9880636132761621,119363.867238379
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00016734693877551023,0.9883276387498,116723.61250199992
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00017142857142857145,0.9885814357673195,114185.64232680506
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00017551020408163267,0.9888255150960433,111744.84903956672
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.0001795918367346939,0.9890603586319597,109396.41368040265
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00018367346938775512,0.9892864210863688,107135.78913631228
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00018775510204081634,0.9895041315843752,104958.68415624776
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.00019183673469387756,0.9897138951769235,102861.04823076459
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.0001959183673469388,0.989916094268783,100839.0573121698
10000000.0,0.0002,2.0000000000000003e-06,4.5,0.0002,0.9901110899653824,98889.10034617559
10000000.0,0.0002,2.0000000000000003e-06,7.0,0.0,0.0,0.0
10000000.0,0.0002,2.0000000000000003e-06,7.0,4.081632653061225e-06,0.9652343391703684,347656.6082963162
10000000.0,0.0002,2.0000000000000003e-06,7.0,8.16326530612245e-06,0.9520317715526971,479682.2844730286
10000000.0,0.0002,2.0000000000000003e-06,7.0,1.2244897959183674e-05,0.9503707985413803,496292.0145861971
10000000.0,0.0002,2.0000000000000003e-06,7.0,1.63265306122449e-05,0.9513191013126275,486808.9868737247
10000000.0,0.0002,2.0000000000000003e-06,7.0,2.0408163265306126e-05,0.953119898670427,468801.0132957299
10000000.0,0.0002,2.0000000000000003e-06,7.0,2.448979591836735e-05,0.9552090085990458,447909.91400954215
10000000.0,0.0002,2.0000000000000003e-06,7.0,2.8571428571428574e-05,0.9573605255879415,426394.7441205851
10000000.0,0.0002,2.0000000000000003e-06,7.0,3.26530612244898e-05,0.9594735299182432,405264.70081756805
10000000.0,0.0002,2.0000000000000003e-06,7.0,3.673469387755102e-05,0.9615012138634478,384987.8613655222
10000000.0,0.0002,2.0000000000000003e-06,7.0,4.081632653061225e-05,0.9634227059831793,365772.9401682075
10000000.0,0.0002,2.0000000000000003e-06,7.0,4.4897959183673474e-05,0.9652304007638024,347695.992361976
10000000.0,0.0002,2.0000000000000003e-06,7.0,4.89795918367347e-05,0.9669237319724518,330762.6802754815
10000000.0,0.0002,2.0000000000000003e-06,7.0,5.3061224489795926e-05,0.9685059065705708,314940.9342942922
10000000.0,0.0002,2.0000000000000003e-06,7.0,5.714285714285715e-05,0.969982108086432,300178.9191356796
10000000.0,0.0002,2.0000000000000003e-06,7.0,6.122448979591838e-05,0.9713584749568056,286415.2504319439
10000000.0,0.0002,2.0000000000000003e-06,7.0,6.53061224489796e-05,0.972641507694155,273584.9230584497
10000000.0,0.0002,2.0000000000000003e-06,7.0,6.938775510204082e-05,0.9738377225241025,261622.774758975
10000000.0,0.0002,2.0000000000000003e-06,7.0,7.346938775510205e-05,0.9749534509182112,250465.49081788826
10000000.0,0.0002,2.0000000000000003e-06,7.0,7.755102040816328e-05,0.9759947273960248,240052.72603975225
